time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-12-29 8:20:45.6550,0.046,-0.346,-1.022,1.36,1.02,-0.24,2.04,2.39,1.55
2022-12-29 8:20:45.6640,0.333,-0.306,-1.275,-1.12,0.63,2.59,1.95,1.57,1.45
2022-12-29 8:20:45.6740,0.381,-0.202,-1.275,-2.4,-0.39,3.04,1.81,0.95,1.19
2022-12-29 8:20:45.6840,0.469,-0.034,-1.589,-3.13,-2.03,5.44,1.08,0.19,0.6
2022-12-29 8:20:45.6940,0.159,-0.041,-1.233,-1.61,-2.82,4.5,0.64,0.03,0.48
2022-12-29 8:20:45.7040,-0.009,-0.099,-1.137,1.04,-2.3,1.79,0.25,-0.48,0.49
2022-12-29 8:20:45.7140,-0.063,-0.182,-1.121,1.68,-1.6,1.99,0.01,-0.99,0.44
2022-12-29 8:20:45.7240,0.006,-0.218,-1.026,1.41,-0.95,1.15,-0.09,-1.34,0.29
2022-12-29 8:20:45.7340,0.103,-0.194,-0.918,0.14,-1.03,0.14,-0.16,-1.54,0.09
2022-12-29 8:20:45.7440,0.122,-0.181,-0.838,-0.38,-1.23,-0.91,-0.27,-1.51,-0.05
2022-12-29 8:20:45.7540,0.137,-0.201,-0.871,-0.65,-1.12,-1.01,-0.42,-1.44,-0.13
2022-12-29 8:20:45.7640,0.147,-0.225,-0.941,-0.91,-0.8,-0.37,-0.57,-1.37,-0.18
2022-12-29 8:20:45.7740,0.142,-0.237,-1.01,-1.0,-0.58,0.29,-0.67,-1.3,-0.2
2022-12-29 8:20:45.7840,0.105,-0.247,-1.043,-0.98,-0.47,0.76,-0.69,-1.21,-0.21
2022-12-29 8:20:45.7940,-0.026,-0.297,-1.033,-0.09,-0.03,0.77,-0.67,-1.12,-0.13
2022-12-29 8:20:45.8040,-0.138,-0.346,-0.927,1.15,0.53,0.27,-0.62,-1.13,-0.03
2022-12-29 8:20:45.8140,-0.077,-0.364,-0.78,1.19,0.95,-1.49,-0.53,-0.89,0.0
2022-12-29 8:20:45.8240,-0.003,-0.33,-0.838,0.04,0.79,-1.58,-0.57,-0.61,0.01
2022-12-29 8:20:45.8340,-0.049,-0.311,-0.891,0.2,0.58,-0.87,-0.66,-0.41,0.06
2022-12-29 8:20:45.8440,-0.051,-0.296,-0.93,0.42,0.53,-0.54,-0.76,-0.26,0.11
2022-12-29 8:20:45.8540,-0.04,-0.273,-0.962,0.25,0.39,-0.16,-0.85,-0.14,0.14
2022-12-29 8:20:45.8640,-0.053,-0.248,-0.958,0.29,0.25,-0.1,-0.91,-0.06,0.16
2022-12-29 8:20:45.8740,-0.065,-0.214,-0.935,0.45,0.03,-0.31,-0.97,0.01,0.17
2022-12-29 8:20:45.8840,-0.066,-0.179,-0.94,0.46,-0.21,-0.43,-1.09,0.01,0.12
2022-12-29 8:20:45.8940,-0.09,-0.149,-0.939,0.6,-0.41,-0.35,-1.22,0.08,0.02
2022-12-29 8:20:45.9030,-0.098,-0.105,-0.916,0.84,-0.65,-0.58,-1.29,0.2,-0.15
2022-12-29 8:20:45.9130,-0.073,-0.063,-0.914,0.7,-0.97,-0.72,-1.28,0.33,-0.38
2022-12-29 8:20:45.9230,-0.063,-0.043,-0.923,0.55,-1.16,-0.66,-1.2,0.39,-0.56
2022-12-29 8:20:45.9330,-0.059,-0.056,-0.922,0.59,-1.04,-0.63,-1.05,0.43,-0.63
2022-12-29 8:20:45.9430,-0.055,-0.083,-0.931,0.58,-0.71,-0.65,-0.82,0.43,-0.61
2022-12-29 8:20:45.9530,-0.051,-0.116,-0.972,0.61,-0.37,-0.37,-0.55,0.38,-0.57
2022-12-29 8:20:45.9630,-0.025,-0.162,-1.037,0.48,0.08,0.21,-0.25,0.33,-0.47
2022-12-29 8:20:45.9730,0.009,-0.191,-1.094,0.19,0.48,0.83,0.06,0.2,-0.38
2022-12-29 8:20:45.9830,0.038,-0.187,-1.106,-0.14,0.52,1.15,0.4,-0.06,-0.34
2022-12-29 8:20:45.9930,0.031,-0.183,-1.082,-0.26,0.36,1.02,0.78,-0.4,-0.3
2022-12-29 8:20:46.0030,-0.003,-0.185,-1.031,-0.04,0.3,0.61,1.2,-0.67,-0.27
2022-12-29 8:20:46.0130,-0.036,-0.176,-1.004,0.24,0.09,0.24,1.57,-0.89,-0.25
2022-12-29 8:20:46.0230,-0.031,-0.161,-0.98,0.29,-0.19,0.09,1.84,-1.05,-0.29
2022-12-29 8:20:46.0330,-0.006,-0.15,-0.943,-0.06,-0.55,-0.22,2.0,-1.15,-0.39
2022-12-29 8:20:46.0430,-0.012,-0.161,-0.929,-0.26,-0.7,-0.44,2.07,-1.16,-0.5
2022-12-29 8:20:46.0530,-0.044,-0.178,-0.941,-0.09,-0.75,-0.33,2.07,-1.13,-0.57
2022-12-29 8:20:46.0630,-0.086,-0.193,-0.97,0.21,-0.77,-0.05,2.03,-1.1,-0.56
2022-12-29 8:20:46.0730,-0.109,-0.194,-0.994,0.46,-0.89,0.3,1.97,-1.0,-0.52
2022-12-29 8:20:46.0830,-0.125,-0.191,-0.955,0.52,-1.17,0.28,1.86,-0.65,-0.44
2022-12-29 8:20:46.0930,-0.155,-0.264,-0.974,0.78,-0.85,0.01,1.65,-0.49,-0.3
2022-12-29 8:20:46.1030,-0.147,-0.303,-1.017,0.83,-0.41,0.76,1.39,-0.53,-0.2
2022-12-29 8:20:46.1130,-0.116,-0.321,-0.954,0.51,-0.31,0.43,1.11,-0.46,-0.12
2022-12-29 8:20:46.1220,-0.099,-0.335,-0.916,0.25,-0.24,-0.08,0.83,-0.28,-0.06
2022-12-29 8:20:46.1330,-0.087,-0.348,-0.904,0.13,-0.17,-0.23,0.58,-0.07,-0.0
2022-12-29 8:20:46.1420,-0.073,-0.355,-0.914,-0.01,-0.1,-0.21,0.34,0.06,0.05
2022-12-29 8:20:46.1530,-0.058,-0.35,-0.941,-0.15,-0.12,0.03,0.13,0.07,0.09
2022-12-29 8:20:46.1620,-0.054,-0.338,-0.963,-0.25,-0.22,0.27,-0.02,-0.02,0.1
2022-12-29 8:20:46.1720,-0.059,-0.332,-0.965,-0.23,-0.31,0.37,-0.13,-0.12,0.06
2022-12-29 8:20:46.1820,-0.069,-0.342,-0.961,-0.16,-0.27,0.31,-0.16,-0.23,0.02
2022-12-29 8:20:46.1920,-0.079,-0.368,-0.964,-0.09,-0.03,0.35,-0.16,-0.45,-0.04
2022-12-29 8:20:46.2020,-0.084,-0.393,-0.925,-0.07,0.24,0.17,-0.13,-0.67,-0.14
2022-12-29 8:20:46.2120,-0.079,-0.405,-0.856,-0.15,0.42,-0.47,-0.07,-0.71,-0.24
2022-12-29 8:20:46.2220,-0.08,-0.415,-0.794,-0.21,0.49,-1.1,0.03,-0.59,-0.32
2022-12-29 8:20:46.2320,-0.076,-0.427,-0.761,-0.25,0.62,-1.56,0.17,-0.5,-0.4
2022-12-29 8:20:46.2420,-0.07,-0.423,-0.762,-0.37,0.61,-1.66,0.33,-0.48,-0.48
2022-12-29 8:20:46.2520,-0.091,-0.406,-0.8,-0.27,0.43,-1.37,0.52,-0.49,-0.56
2022-12-29 8:20:46.2620,-0.118,-0.388,-0.831,-0.02,0.19,-0.97,0.73,-0.49,-0.63
2022-12-29 8:20:46.2720,-0.103,-0.362,-0.832,0.02,-0.12,-0.78,0.93,-0.48,-0.75
2022-12-29 8:20:46.2820,-0.074,-0.334,-0.782,-0.33,-0.5,-1.04,1.08,-0.48,-0.88
2022-12-29 8:20:46.2920,-0.124,-0.273,-0.76,-0.23,-0.99,-1.55,1.16,-0.62,-1.0
2022-12-29 8:20:46.3020,-0.217,-0.187,-0.769,0.74,-2.05,-1.03,1.12,-0.78,-1.08
2022-12-29 8:20:46.3120,-0.195,-0.181,-0.62,0.93,-2.45,-2.3,0.98,-0.31,-1.07
2022-12-29 8:20:46.3220,-0.146,-0.164,-0.648,0.53,-2.57,-2.68,0.72,0.32,-1.02
2022-12-29 8:20:46.3320,-0.066,-0.135,-0.764,0.03,-2.93,-1.75,0.43,0.84,-0.96
2022-12-29 8:20:46.3420,0.055,-0.147,-0.91,-0.96,-3.03,-0.32,0.11,1.06,-0.89
2022-12-29 8:20:46.3520,0.12,-0.215,-1.002,-1.76,-2.56,0.77,-0.19,1.22,-0.71
2022-12-29 8:20:46.3620,0.132,-0.344,-1.084,-1.87,-1.53,1.52,-0.39,1.28,-0.52
2022-12-29 8:20:46.3720,0.092,-0.513,-1.14,-1.57,0.16,2.26,-0.41,1.15,-0.59
2022-12-29 8:20:46.3820,0.043,-0.64,-1.045,-0.95,1.49,1.99,0.06,0.98,-0.74
2022-12-29 8:20:46.3920,0.018,-0.738,-1.04,-0.32,2.71,1.06,0.64,0.84,-0.84
2022-12-29 8:20:46.4010,0.057,-0.719,-1.137,-0.7,2.71,2.22,0.95,0.96,-0.91
2022-12-29 8:20:46.4120,-0.013,-0.72,-1.098,-0.06,2.57,2.21,1.2,1.03,-0.83
2022-12-29 8:20:46.4210,-0.0,-0.661,-1.09,0.24,2.14,2.06,1.34,0.98,-0.74
2022-12-29 8:20:46.4310,0.015,-0.574,-1.041,0.14,1.21,1.86,1.38,0.88,-0.63
2022-12-29 8:20:46.4410,0.022,-0.494,-0.989,0.15,0.26,1.32,1.27,0.79,-0.51
2022-12-29 8:20:46.4510,0.025,-0.447,-0.963,0.18,-0.44,1.04,1.07,0.68,-0.4
2022-12-29 8:20:46.4610,0.02,-0.432,-0.967,0.27,-0.77,1.02,0.8,0.46,-0.24
2022-12-29 8:20:46.4710,0.035,-0.431,-0.958,0.26,-0.82,1.11,0.54,0.13,-0.05
2022-12-29 8:20:46.4810,0.079,-0.426,-0.907,-0.12,-0.92,0.72,0.3,-0.18,0.12
2022-12-29 8:20:46.4910,0.111,-0.435,-0.865,-0.54,-0.9,0.25,0.11,-0.48,0.22
2022-12-29 8:20:46.5010,0.123,-0.466,-0.829,-0.81,-0.67,-0.11,-0.05,-0.69,0.28
2022-12-29 8:20:46.5110,0.107,-0.493,-0.811,-0.83,-0.34,-0.39,-0.22,-0.78,0.31
2022-12-29 8:20:46.5210,0.08,-0.504,-0.809,-0.67,-0.14,-0.47,-0.39,-0.81,0.34
2022-12-29 8:20:46.5310,0.052,-0.495,-0.819,-0.47,-0.14,-0.45,-0.56,-0.79,0.34
2022-12-29 8:20:46.5410,0.024,-0.49,-0.83,-0.29,-0.15,-0.33,-0.71,-0.74,0.29
2022-12-29 8:20:46.5510,0.001,-0.484,-0.814,-0.1,-0.14,-0.44,-0.79,-0.69,0.21
2022-12-29 8:20:46.5610,-0.011,-0.484,-0.803,0.01,-0.09,-0.65,-0.8,-0.57,0.11
2022-12-29 8:20:46.5710,-0.006,-0.489,-0.819,-0.02,0.0,-0.64,-0.76,-0.42,-0.01
2022-12-29 8:20:46.5810,0.006,-0.494,-0.855,-0.15,0.14,-0.37,-0.68,-0.34,-0.11
2022-12-29 8:20:46.5910,0.015,-0.487,-0.884,-0.28,0.15,-0.05,-0.57,-0.35,-0.19
2022-12-29 8:20:46.6010,0.024,-0.469,-0.893,-0.38,0.07,0.09,-0.44,-0.42,-0.27
